barometerValue,gzValue,mzValue,gpsTimeInMillis,systemTimeInMillis,myValue,zValue,tc,mxValue,latitudeValue,gxValue,lightValue,longitudeValue,xValue,altitudeValue,gyValue,yValue,globalFrame,temperatureValue
1004.84796,0.0009765625,-51.95465,1682811868000,1682811865502,26.850891,9.595215,00:58:58:17,26.324463,34.030098,-0.0010681152,38.0,-118.75661,0.26081848,24.0,-0.002166748,0.086135864,1178,0.0
1004.84796,-0.00024414062,-52.66571,1682811868000,1682811865538,25.505066,9.044876,00:58:58:18,24.916077,34.030098,-0.008392334,38.0,-118.75661,0.27757263,24.0,-0.033935547,0.100494385,1179,0.0
1004.84796,-0.0026855469,-51.953125,1682811868000,1682811865581,26.159668,9.647858,00:58:58:19,24.932861,34.030098,0.005050659,38.0,-118.75661,0.27278137,24.0,-0.018051147,0.119644165,1180,0.0
1004.8487,-0.00024414062,-51.960754,1682811868000,1682811865616,27.430725,9.566513,00:58:58:20,22.895813,34.030098,-0.0010681152,38.0,-118.75661,0.2536316,24.0,-0.0058288574,0.08375549,1181,0.0
1004.8487,-0.0026855469,-51.950073,1682811868000,1682811865656,25.486755,9.604797,00:58:58:21,24.227905,34.030098,0.001373291,38.0,-118.75661,0.29910278,24.0,-0.0033874512,0.13160706,1182,0.0
1004.8487,-0.0014648438,-51.95465,1682811868000,1682811865700,26.835632,9.509079,00:58:58:22,25.637817,34.030098,0.001373291,38.0,-118.75661,0.28474426,24.0,-0.00093078613,0.119644165,1183,0.0
1004.8487,0.0009765625,-51.234436,1682811868000,1682811865735,25.515747,9.595215,00:58:58:23,25.6073,34.030098,0.005050659,38.0,-118.75661,0.25842285,24.0,-0.00093078613,0.107681274,1184,0.0
1004.8487,-0.00024414062,-51.22986,1682811868000,1682811865778,24.887085,9.595215,00:58:59:00,26.968384,34.030098,0.001373291,38.0,-118.75661,0.25842285,24.0,-0.00093078613,0.110076904,1185,0.0
1004.8521,-0.003921509,-53.372192,1682811868000,1682811865821,24.15924,9.585648,00:58:59:01,23.506165,34.030098,-0.0010681152,38.0,-118.75661,0.2679901,24.0,-0.00093078613,0.122039795,1186,0.0
1004.8521,0.0021972656,-51.235962,1682811868000,1682811865858,25.498962,9.568893,00:58:59:02,24.917603,34.030098,0.00015258789,38.0,-118.75661,0.25125122,24.0,-0.00093078613,0.105285645,1187,0.0
1004.8521,0.0009765625,-51.945496,1682811868000,1682811865884,24.842834,9.559326,00:58:59:03,24.902344,34.030098,0.00015258789,38.0,-118.75661,0.24645996,24.0,-0.002166748,0.090927124,1188,0.0
1004.8521,-0.00024414062,-51.953125,1682811868000,1682811865938,26.159668,9.571289,00:58:59:04,24.932861,34.030098,0.001373291,38.0,-118.75661,0.24885559,24.0,-0.002166748,0.090927124,1189,0.0
1004.8521,-0.00024414062,-51.945496,1682811868000,1682811865971,24.827576,9.537796,00:58:59:05,24.212646,34.030098,-0.0047302246,38.0,-118.75661,0.2536316,24.0,-0.0033874512,0.090927124,1190,0.0
1004.8487,-0.0014648438,-52.661133,1682811868000,1682811866053,24.845886,9.559326,00:58:59:06,24.900818,34.030098,0.001373291,38.0,-118.75661,0.25842285,24.0,0.0002746582,0.100494385,1191,0.0
1004.8487,-0.00024414062,-51.950073,1682811868000,1682811866091,25.456238,9.544968,00:58:59:07,22.850037,34.030098,0.00015258789,38.0,-118.75661,0.27278137,24.0,0.0015106201,0.102890015,1192,0.0
1004.8487,-0.00024414062,-50.52948,1682811868000,1682811866139,27.485657,9.554535,00:58:59:08,25.653076,34.030098,0.001373291,38.0,-118.75661,0.26081848,24.0,0.0002746582,0.093322754,1193,0.0
1004.8487,-0.0026855469,-50.523376,1682811868000,1682811866181,26.121521,9.547363,00:58:59:09,23.554993,34.030098,-0.0022888184,38.0,-118.75661,0.26081848,24.0,0.0002746582,0.114852905,1194,0.0
1004.84534,-0.0014648438,-50.523376,1682811869000,1682811866225,26.152039,9.544968,00:58:59:10,24.932861,34.030098,-0.0010681152,38.0,-118.75661,0.2679901,24.0,-0.0033874512,0.090927124,1195,0.0
1004.84534,-0.0026855469,-51.953125,1682811869000,1682811866258,26.159668,9.566513,00:58:59:11,24.932861,34.030098,0.001373291,38.0,-118.75661,0.25602722,24.0,0.0015106201,0.098098755,1196,0.0
1004.84534,0.0021972656,-51.235962,1682811869000,1682811866292,25.483704,9.568893,00:58:59:12,24.227905,34.030098,0.00015258789,38.0,-118.75661,0.25602722,24.0,-0.002166748,0.114852905,1197,0.0
1004.84534,0.0009765625,-51.237488,1682811869000,1682811866345,26.1734,9.554535,00:58:59:13,25.622559,34.030098,0.002609253,35.0,-118.75661,0.2536316,24.0,0.0015106201,0.100494385,1198,0.0
1004.84534,0.0009765625,-51.950073,1682811869000,1682811866379,25.471497,9.571289,00:58:59:14,23.539734,34.030098,0.00015258789,35.0,-118.75661,0.26560974,24.0,-0.00093078613,0.086135864,1199,0.0
1004.8395,0.0009765625,-51.953125,1682811869000,1682811866413,26.159668,9.578476,00:58:59:15,24.932861,34.030098,0.001373291,35.0,-118.75661,0.2632141,24.0,0.0002746582,0.102890015,1200,0.0
1004.8395,-0.00024414062,-51.950073,1682811869000,1682811866448,25.471497,9.561722,00:58:59:16,23.539734,34.030098,0.001373291,35.0,-118.75661,0.24406433,24.0,-0.00093078613,0.098098755,1201,0.0
1004.8395,-0.0026855469,-51.235962,1682811869000,1682811866502,25.483704,9.552155,00:58:59:17,24.227905,34.030098,-0.0022888184,35.0,-118.75661,0.26560974,24.0,0.0002746582,0.100494385,1202,0.0
1004.8395,-0.005126953,-51.239014,1682811869000,1682811866546,26.126099,9.559326,00:58:59:18,23.554993,34.030098,0.001373291,35.0,-118.75661,0.25842285,24.0,0.0002746582,0.098098755,1203,0.0
1004.8395,-0.003921509,-51.945496,1682811869000,1682811866574,24.827576,9.544968,00:58:59:19,24.212646,34.030098,-0.0022888184,35.0,-118.75661,0.26081848,24.0,-0.00093078613,0.093322754,1204,0.0
1004.83856,-0.00024414062,-50.520325,1682811869000,1682811866610,25.479126,9.554535,00:58:59:20,24.227905,34.030098,-0.0035095215,35.0,-118.75661,0.25602722,24.0,0.0002746582,0.102890015,1205,0.0
1004.83856,-0.0026855469,-51.953125,1682811869000,1682811866665,26.12915,9.554535,00:58:59:21,23.554993,34.030098,-0.0047302246,35.0,-118.75661,0.2632141,24.0,0.0051574707,0.093322754,1206,0.0
1004.83856,-0.00024414062,-50.512695,1682811869000,1682811866700,24.160767,9.564117,00:58:59:22,24.195862,34.030098,-0.0010681152,35.0,-118.75661,0.26560974,24.0,0.0002746582,0.105285645,1207,0.0
1004.83856,-0.0026855469,-50.52185,1682811869000,1682811866726,26.168823,9.583252,00:58:59:23,25.622559,34.030098,-0.0022888184,35.0,-118.75661,0.2632141,24.0,0.0002746582,0.107681274,1208,0.0
1004.83856,-0.00024414062,-52.667236,1682811869000,1682811866779,26.179504,9.556931,00:59:00:00,25.621033,34.030098,-0.0022888184,35.0,-118.75661,0.25125122,24.0,0.0015106201,0.098098755,1209,0.0
1004.83514,-0.00024414062,-51.948547,1682811869000,1682811866807,25.534058,9.564117,00:59:00:01,26.293945,34.030098,0.002609253,35.0,-118.75661,0.24645996,24.0,0.0002746582,0.095718384,1210,0.0
1004.83514,-0.0014648438,-51.937866,1682811869000,1682811866860,23.573303,9.544968,00:59:00:02,26.93634,34.030098,0.0038146973,35.0,-118.75661,0.27278137,24.0,-0.00093078613,0.090927124,1211,0.0
1004.83514,-0.00024414062,-51.950073,1682811869000,1682811866902,25.471497,9.540192,00:59:00:03,23.539734,34.030098,0.00015258789,35.0,-118.75661,0.27278137,24.0,0.0002746582,0.095718384,1212,0.0
1004.83514,-0.0014648438,-52.668762,1682811869000,1682811866938,26.132202,9.559326,00:59:00:04,23.553467,34.030098,0.001373291,35.0,-118.75661,0.25125122,24.0,-0.00093078613,0.095718384,1213,0.0
1004.83514,-0.0014648438,-52.668762,1682811869000,1682811866982,26.116943,9.568893,00:59:00:05,22.86377,34.030098,0.00015258789,35.0,-118.75661,0.2632141,24.0,-0.00093078613,0.105285645,1214,0.0
1004.83514,-0.0014648438,-52.668762,1682811869000,1682811867059,26.132202,9.559326,00:59:00:06,23.553467,34.030098,0.001373291,35.0,-118.75661,0.2536316,24.0,0.0015106201,0.098098755,1215,0.0
